Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.089,59.136,59.203,59.282,59.368,59.334,59.314,59.308,59.317,59.329,59.312,59.318,59.34,59.367,59.394,59.353,59.192,59.032,58.87,58.707,58.545,58.382,58.213,58.043,57.882,57.731,60.402,60.644,60.865,60.351,61.236,60.881,
Bulgaria,BGR,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.338,68.822,68.032,67.206,66.347,65.46,64.552,63.65,62.786,61.907,63.601,62.891,61.548,62.588,61.808,63.839,65.506,66.98,66.271,67.086,66.35,67.479,68.824,69.435,69.7,69.027,71.708,71.9,73.687,72.629,72.551,74.13,
Bahrain,BHR,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.932,66.874,66.787,66.708,66.665,66.668,66.729,66.874,67.132,67.511,67.99,68.545,68.948,69.102,69.318,69.797,70.514,71.406,72.386,73.07,72.484,72.836,72.965,72.598,72.523,72.961,73.498,73.958,74.151,73.269,73.631,74.131,
"Bahamas, The",BHS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.001,76.695,77.366,78.005,78.259,78.468,78.799,78.655,79.178,79.351,79.472,79.576,79.492,79.471,79.573,79.661,79.665,79.49,79.242,79.203,79.137,79.19,79.011,79.003,78.968,79.002,79.107,79.224,79.281,73.872,76.277,78.164,
Bosnia and Herzegovina,BIH,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.564,49.48,49.21,48.899,48.578,48.414,48.305,48.35,48.457,48.536,48.663,49.187,49.677,50.136,50.569,50.969,51.76,53.011,53.21,54.073,53.832,54.057,53.911,55.146,55.537,55.682,55.809,56.084,57.265,57.784,60.999,61.552,
Belarus,BLR,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.591,68.765,68.913,69.287,69.74,69.759,69.584,69.589,69.768,70.489,71.126,71.659,72.114,72.512,72.906,73.291,73.653,74,74.314,74.648,75.093,75.618,76.154,76.681,77.142,77.547,77.932,78.152,78.354,78.497,78.826,79.331,
Belize,BLZ,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.697,58.069,58.185,58.052,59.006,59.977,60.952,60.764,61.377,61.631,61.877,62.116,62.354,62.595,62.836,63.08,63.325,63.573,63.827,64.075,64.318,64.571,64.835,65.833,66.214,66.598,66.23,66.186,66.099,64.11,64.796,66.322,
Bermuda,BMU,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.492,70.451,70.695,71.003,71.303,71.567,71.879,72.415,72.944,71.641,71.578,71.494,71.414,71.338,71.267,74.273,72.108,73.167,73.588,73.616,73.647,70.189,70.663,72.86,68.45,68.833,69.987,73.215,72.365,71.581,70.132,72.014,
Brazil,BRA,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.944,67.171,67.397,67.623,67.846,66.162,67.119,67.3,68.021,68.295,68.559,69.577,69.497,70.206,70.996,70.651,70.439,70.292,70.642,69.499,68.324,68.955,69.023,68.976,69.454,69.736,70.185,70.367,70.989,66.601,69.062,70.279,
Barbados,BRB,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.834,76.049,76.911,77.79,78.567,77.509,78.44,78.331,78.332,79.27,80.179,78.897,79.681,80.012,79.784,77.759,77.609,77.419,77.495,77.554,77.587,76.188,76.571,74.074,74.056,75.65,74.809,73.908,73.27,72.011,72.782,74.369,
Brunei Darussalam,BRN,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.564,67.866,68.176,68.493,68.818,69.142,69.459,69.768,70.071,70.37,70.667,70.531,70.398,70.271,70.153,70.033,69.904,69.759,69.595,69.422,69.286,68.738,68.209,67.696,67.195,66.709,66.238,68.88,67.924,67.678,68.13,69.115,
Bhutan,BTN,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.248,72.047,71.856,71.658,71.451,71.415,71.406,71.419,71.475,71.574,71.656,71.766,71.901,72.037,72.166,72.132,72.098,72.071,72.06,70.337,69.324,66.646,67.418,64.525,65.633,65.421,65.172,64.895,68.612,70.103,71.237,72.256,
Botswana,BWA,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.905,60.738,60.554,60.351,60.131,59.936,59.714,59.445,59.051,58.649,58.915,59.179,59.444,59.708,59.971,60.232,61.43,62.617,63.792,60.608,61.178,61.748,62.315,62.889,63.47,64.053,64.638,65.226,65.816,64.225,66.331,66.847,
Central African Republic,CAF,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.754,70.71,70.676,70.644,70.606,70.587,70.588,70.574,70.545,70.484,70.524,70.542,70.52,70.524,70.511,70.577,70.635,70.674,70.711,70.714,70.836,70.941,70.876,70.915,70.948,70.872,70.776,70.662,70.54,69.864,69.883,70.484,
Canada,CAN,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.618,75.774,75.536,75.37,75.138,75.072,75.372,75.74,76.321,76.668,76.883,77.93,78.665,78.614,78.19,78.141,78.678,78.778,78.326,78.168,78.121,78.101,78.323,78.026,78.209,78.344,78.646,78.607,79.132,77.693,79.439,79.762,
Central Europe and the Baltics,CEB,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.64320522,69.55971087,68.95075192,68.37784479,67.81560899,67.31090593,66.97938491,66.58503472,66.3501188,66.40759351,66.32696403,65.00606045,64.67676348,64.67665994,64.58823223,64.74825254,64.86531838,65.27227508,65.65964281,66.31008005,66.30230988,67.09742372,67.65797584,68.6364949,69.16374931,69.56647097,70.67038214,71.19225813,71.74691019,71.92104636,72.41672277,73.03814761,
Switzerland,CHE,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.449,76.741,77.164,76.203,76.575,80.069,80.232,81.103,80.929,80.521,81.189,81.21,81.271,80.905,80.807,81.226,81.588,82.284,82.401,81.263,81.92,82.163,82.289,82.77,83.177,83.729,83.81,84.04,84.153,83.923,83.611,83.231,
Channel Islands,CHI,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.539,68.71,68.697,68.826,69.209,69.766,70.153,70.521,70.936,70.953,71.732,72.432,72.806,72.689,72.531,72.191,71.862,72.214,72.499,72.234,71.847,72.029,72.165,72.264,72.44,72.58,72.62,72.673,72.775,72.009,72.38,72.708,
Chile,CHL,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.719,57.94,58.656,59.193,60.174,60.911,61.007,61.175,61.326,60.652,59.846,59.431,59.991,60.459,60.789,62.016,62.581,63.988,63.883,64.233,65.51,65.346,65.473,65.799,65.795,65.6,66.005,66.127,65.821,63.139,64.766,67.788,
China,CHN,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.797,83.6,83.425,83.247,83.062,82.865,82.652,82.457,82.265,82.051,81.601,81.122,80.619,80.091,79.544,79.011,78.483,77.94,77.395,76.86,76.878,76.555,76.275,76.16,76.067,75.932,75.712,75.495,75.389,74.291,75.839,75.933,
Cote d'Ivoire,CIV,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.924,65.84,65.734,65.623,65.541,65.553,65.538,65.52,65.556,65.592,65.629,65.669,65.71,65.747,65.781,65.814,65.846,65.877,65.908,65.938,65.962,65.977,65.99,66.002,66.015,66.033,66.053,66.075,66.099,65.467,65.607,65.786,
Cameroon,CMR,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.335,83.303,83.228,83.184,83.126,83.088,83.033,82.958,82.873,82.781,82.728,82.673,82.618,82.573,82.506,82.484,82.459,80.768,78.959,77.033,75.993,74.928,73.834,72.71,72.678,72.646,72.6,72.545,72.481,71.787,71.476,72.463,
"Congo, Dem. Rep.",COD,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.183,73.161,73.113,73.089,73.064,73.103,73.097,73.082,73.04,72.982,72.985,72.999,73.018,73.037,73.05,72.157,71.246,70.319,69.375,68.413,67.432,66.439,66.473,66.498,66.5,66.495,66.478,66.455,66.413,65.782,66.176,66.263,
"Congo, Rep.",COG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.787,69.687,69.566,69.425,69.338,69.263,69.172,69.105,69.007,68.952,68.918,68.897,68.858,68.831,68.828,68.814,68.752,68.747,68.754,68.748,68.812,68.888,68.913,68.949,68.935,68.866,68.803,68.723,68.646,67.795,68.213,68.54,
Colombia,COL,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.256,69.514,69.915,70.363,70.75,70.809,71.023,70.936,70.315,70.493,70.54,69.497,70.414,69.722,68.392,67.773,67.156,67.532,70.412,70.564,71.117,71.841,71.142,70.99,71.181,70.685,70.403,69.783,69.016,68.275,69.546,68.308,
Comoros,COM,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.127,43.136,43.096,42.99,42.915,42.808,42.718,42.6,42.487,42.418,42.318,42.202,42.07,41.954,42.334,42.714,43.094,43.471,43.839,44.2,44.555,44.908,45.264,45.624,45.546,45.495,45.447,45.401,45.34,44.924,45.177,45.395,
Cabo Verde,CPV,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.837,63.796,63.746,63.689,63.625,63.558,63.49,63.419,63.343,63.321,63.361,63.41,63.464,63.515,63.558,63.589,63.607,63.615,63.613,63.478,63.333,63.208,63.102,63.02,62.955,62.926,62.951,59.154,61.31,58.463,59.185,61.514,
Costa Rica,CRI,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.467,58.925,59.883,60.44,61.473,59.446,61.571,63.366,63.236,62.738,64.16,63.847,64.27,63.057,65.73,65.097,66.07,65.475,65.402,64.11,65.266,68.867,68.435,69.236,67.877,64.983,65.307,67.774,70.024,66.697,68.176,68.32,
Caribbean small states,CSS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.78357972,63.96662841,64.29269006,64.45197993,64.59126904,64.40573917,64.50584457,64.31276746,64.30372449,64.53081762,64.75451092,64.73081426,64.96839073,65.15961318,65.29863757,65.23761868,65.37845827,65.48532138,65.60573246,65.7640441,65.930959,66.07439568,66.23797774,66.21675225,66.39812805,66.77782799,66.69099464,66.58278441,65.24285866,62.87674239,63.79590021,64.83242713,
Cuba,CUB,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.507,57.937,57.188,57.286,57.496,57.965,58.195,58.291,58.678,59.061,59.337,59.548,59.873,60.291,60.979,61.721,62.269,62.695,64.313,63.896,64.807,65.19,65.545,65.789,66.202,66.418,66.715,67.063,67.284,63.347,64.761,67.356,
Curacao,CUW,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.187,66.82,66.917,66.964,67.012,67.07,67.143,67.231,67.333,67.444,69.212,69.369,70.623,70.686,70.957,71.494,72.403,72.133,71.82,72.417,72.24,72.548,72.823,73.723,72.282,71.214,71.918,72.962,73.69,73.785,75.016,76.757,
Czechia,CZE,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.968,71.994,72.022,72.324,72.303,72.088,72.052,72.086,72.096,71.485,71.003,70.695,70.27,70.034,70.311,70.284,69.81,69.731,70.203,70.275,70.528,71.582,72.883,73.528,74,74.993,75.868,76.56,76.747,76.474,76.879,77.126,
Germany,DEU,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.767,70.997,70.627,70.622,70.221,70.19,70.339,70.458,70.878,70.74,71.114,71.244,71.772,71.693,74.108,75.335,75.881,76.151,76.521,76.539,77.217,77.104,77.427,77.565,77.382,78.506,78.869,79.074,80.071,78.821,78.924,79.88,
Djibouti,DJI,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.641,38.527,38.303,38.098,37.955,37.746,37.606,37.493,37.347,37.13,36.99,36.787,36.554,36.323,36.094,35.711,35.332,34.965,34.617,34.31,34.159,34.044,33.953,33.862,33.753,33.696,33.59,33.483,33.389,32.753,32.781,33.45,
Dominica,DMA,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.018,83.311,82.32,78.557,78.671,79.199,79.363,78.968,80.024,79.552,78.632,79.189,79.066,79.796,79.338,79.923,79.803,79.12,78.534,77.856,77.623,77.047,76.417,76.437,76.825,77.39,77.845,78.196,79.029,78.827,79.38,80.322,
Dominican Republic,DOM,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.496,58.937,59.219,59.322,59.591,59.872,60.282,60.598,60.879,61.103,59.88,60.382,59.444,59.491,59.304,60.146,60.121,60.618,58.301,59.801,61.191,62.383,62.408,62.744,65.444,65.914,65.84,67.522,68.585,63.818,67.203,67.332,
Algeria,DZA,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.078,46.237,46.606,46.921,47.004,47.154,47.046,46.878,46.622,46.367,46.11,45.864,45.621,45.365,45.116,44.849,44.582,44.309,44.029,44.294,44.507,44.73,46.094,43.574,44.71,45,45.066,45.14,45.256,42.824,43.413,45.641,
East Asia & Pacific (excluding high income),EAP,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.57630652,80.41611589,80.16582119,80.15020775,79.98146529,79.80549209,79.50916835,79.35289505,79.17854731,78.9994311,78.64396766,78.12587593,77.66435486,77.25810817,76.7785922,76.36088464,76.23218577,75.84161046,75.40984699,75.03906388,75.21749381,75.01607979,74.68292552,74.59876911,74.47377568,74.2634066,73.98573145,73.97709257,73.93904824,72.70781775,73.45065088,73.838075,
